Index,Site_Id,Latitude(degrees),Longitude(degrees)
1187,US-SRG,-110.8277,31.7894
1201,US-SRM,-110.8661,31.8214
1219,US-Srr,-122.0264,38.2006
1223,US-SRS,-110.8508,31.8173
1231,US-StJ,-75.4372,39.0882
1234,US-Syv,-89.3477,46.242
1249,US-Ton,-120.966,38.4309
1268,US-Tw1,-121.6469,38.1074
1280,US-Tw3,-121.6469,38.1152
1286,US-Tw4,-121.6413,38.1027
1294,US-Tw5,-121.6426,38.1072
1306,US-Uaf,-147.8555,64.8663
1325,US-UMB,-84.7138,45.5598
1340,US-UMd,-84.6975,45.5625
1374,US-Vcm,-106.5321,35.8884
1403,US-Vcs,-106.6142,35.9193
1406,US-WCr,-90.0799,45.8059
1418,US-Whs,-110.0522,31.7438
1433,US-Wi1,-91.2329,46.7305
1435,US-Wi3,-91.0987,46.6347
1438,US-Wi4,-91.1663,46.7393
1442,US-Wi5,-91.0858,46.6531
1443,US-Wi6,-91.2982,46.6249
1445,US-Wi7,-91.0693,46.6491
1447,US-Wi9,-91.0746,46.7385
1464,US-Wkg,-109.9419,31.7365
1482,US-Wlr,-96.855,37.5208
1485,US-WPT,-82.9962,41.4646
1488,US-Wrc,-121.9519,45.8205
1502,US-xAB,-122.3303,45.7624
1507,US-xAE,-99.0588,35.4106
1511,US-xBA,-156.6194,71.2824
1520,US-xBN,-147.5026,65.154
1525,US-xBR,-71.2873,44.0639
1530,US-xCL,-97.57,33.4012
1534,US-xCP,-104.7456,40.8155
1539,US-xDC,-99.1066,47.1617
1544,US-xDJ,-145.7514,63.8811
1549,US-xDL,-87.8039,32.5417
1554,US-xDS,-81.4362,28.125
1558,US-xGR,-83.5019,35.689
1573,US-xJE,-84.4686,31.1948
1578,US-xJR,-106.8425,32.5907
1583,US-xKA,-96.6129,39.1104
1593,US-xLE,-88.1612,31.8539
1597,US-xMB,-109.3883,38.2483
1600,US-xML,-80.5248,37.3783
1617,US-xRM,-105.5459,40.2759
1622,US-xRN,-84.2826,35.9641
1624,US-xSB,-81.9934,29.6893
1627,US-xSE,-76.56,38.8901
1632,US-xSJ,-119.7323,37.1088
1635,US-xSL,-103.0293,40.4619
1640,US-xSR,-110.8355,31.9107
1645,US-xST,-89.5864,45.5089
1650,US-xTA,-87.3933,32.9505
1655,US-xTL,-149.3705,68.6611
1660,US-xTR,-89.5857,45.4937
1665,US-xUK,-95.1921,39.0404
1670,US-xUN,-89.5373,46.2339
1675,US-xWD,-99.2414,47.1282
1680,US-xWR,-121.9519,45.8205
